rata,ente,descrizione,tipo_imposta,imposta,spesa
2022-02,INPS,Buoni pasto,ADD_COM,194.76,888.45
202410,Agenzia delle Entrate,Straordinario,IRPEF,"205,73",577.31
Rata 2025,Regione Lazio,Indennita di funzione,IVA,"€ 217,22",1206.06
202506,INAIL,Straordinario,IVA,948.38,
202306,Ministero della Salute,Buoni pasto,ADD_REG,226.85,770.89
202311,N.D.,Indennita di funzione,IRES,1285.95,5548.15
202402,INPS,Anticipo TFR,IVA,1143.69,2932.55
202209,Regione Lazio,Trattenuta sindacale,IRES,"€ 1.238,72",7295.3
03/23,Agenzia delle Entrate,Premio produttivita,ADD_REG,812.79,4561.03
202202,Regione Lazio,Rimborso spese,INAIL,1495.18,8503.97
202507,Comune di Roma,Straordinario,IVA,114.05,379.63
202412,sconosciuto,Indennita di funzione,IVA,631.83,1691.12
202509,Ministero della Salute,Rimborso spese,IRES,519.71,1479.66
202510,Comune di Roma,Straordinario,ADD_COM,1425.54,3364.28
202509,Regione Lazio,Indennita di funzione,INAIL,886.45,2198.79
202210,INPS,Anticipo TFR,IRAP,1218.98,2785.64
202507,Comune di Milano,Trattenuta sindacale,Iva,296.99,1769.85
202202,Comune di Milano,Stipendio base,INAIL,1469.02,3373.21
202311,Ministero dell'Economia,Trattenuta sindacale,INAIL,773.03,
202406,Ministero dell'Economia,Trattenuta sindacale,IVA,765.82,4065.75
2023-07,Ministero dell'Economia,Premio produttivita,Irap,"1.457,78",6299.01
202205,N.D.,Rimborso spese,INAIL,602.06,3069.1
202203,INPS,Indennita di funzione,INAIL,626.41,2833.66
202512,INPS,Indennita di funzione,INPS,897.89,4964.16
202310,INPS,Buoni pasto,IRPEF,235.68,1073.26
202308,Ministero dell'Economia,Stipendio base,IVA,515.57,2107.91
Rata 2025,Ministero dell'Economia,Straordinario,INPS,330.15,1601.56
202210,Comune di Roma,Indennita di funzione,Add_Com,199.76,757.0
202507,Regione Lazio,Stipendio base,INPS,1305.91,4419.53
202506,Comune di Roma,Anticipo TFR,IRAP,904.53,3501.08
202406,Comune di Milano,Stipendio base,INPS,570.08,1527.16
202203,Ministero della Salute,Stipendio base,IRES,"642,57",3332.55
202202,Agenzia delle Entrate,Anticipo TFR,IRPEF,"€ 675,70",2056.03
mag-2023,Comune di Roma,Indennita di funzione,INAIL,968.07,2530.66
202411,Ministero dell'Economia,Premio produttivita,ADD_COM,1393.82,4161.12
202201,Agenzia delle Entrate,Stipendio base,ADD_REG,1402.53,7529.17
202311,INAIL,Indennita di funzione,n.c.,617.66,2051.13
202210,Ministero dell'Economia,Stipendio base,IRPEF,527.43,2502.23
202404,Comune di Milano,Rimborso spese,ADD_COM,704.02,3819.76
202208,INPS,Buoni pasto,IVA,873.50,2018.64
2024-02,Agenzia delle Entrate,Trattenuta sindacale,n.c.,"€ 719,64",3641.45
202210,INPS,Indennita di funzione,ADD_COM,1005.19,3247.43
202209,Comune di Milano,Stipendio base,INAIL,853.88,2447.64
202205,Comune di Roma,Buoni pasto,n.c.,515.04,2449.33
01/2025,n.a.,Indennita di funzione x,IRAP,551.31,3108.94
2022-12,Ministero della Salute,Buoni pasto,ADD_COM,"€ 598,96",1904.74
2023-06,Ministero della Salute,Rimborso spese,IVA,187.23,800.47
202411,Regione Lazio,Premio produttivita,INPS,"€ 290,79",918.7
202409,Agenzia delle Entrate,Trattenuta sindacale,ADD_REG,"1.098,52",4632.62
202410,Ministero dell'Economia,Stipendio base,INAIL,614.19,2756.15
202599,Regione Lazio,Straordinario,IRES,361.08,1603.68
