rata,ente,descrizione,tipo_imposta,imposta,spesa
202202,Comune di Roma,Stipendio base,IRPEF,1117.36,4269.3
202210,sconosciuto,Buoni pasto,INAIL,"€ 166,52",974.41
202408,Regione Lazio,Buoni pasto,IRES,"401,93",980.18
202406,Agenzia delle Entrate,Rimborso spese,INAIL,1334.55,5701.05
202513,Comune di Roma,Buoni pasto x,INPS,886.54,2983.34
202511,INPS,Indennita di funzione,IRES,117.55,539.01
202302,Agenzia delle Entrate,Straordinario,IVA,-1071.17,4921.84
202509,Ministero della Salute,Trattenuta sindacale,IRPEF,784.69,2324.54
2024-03,INAIL,Anticipo TFR,INAIL,1289.06,6629.94
gen-2023,Ministero dell'Economia,Buoni pasto,IRAP,1039.53,2458.54
202507,Agenzia delle Entrate,Rimborso spese,IVA,56.45,297.64
giu-2022,Comune di Milano,Rimborso spese,IRES,348.32,991.97
202409,Agenzia delle Entrate,Straordinario,IRAP,"€ 424,05",1848.14
10/2025,INPS,Anticipo TFR,IVA,1068.24,3620.52
202409,Agenzia delle Entrate,Rimborso spese,IRES,788.51,3500.29
202510,Agenzia delle Entrate,Premio produttivita,Add_Com,1133.80,3480.39
2022-07,INPS,Rimborso spese,IRAP,N.D.,3393.57
2024-02,Agenzia delle Entrate,Buoni pasto,IRES,524.71,1066.63
202511,INPS,Stipendio base,inps,200.31,700.65
202406,Comune di Milano,Buoni pasto,IRAP,"343,80",1824.05
202507,Ministero della Salute,Indennita di funzione,IVA,631.13,2431.13
202305,Ministero della Salute,Buoni pasto,Inail,849.61,3395.93
202403,Regione Lazio,Rimborso spese,IRPEF,1411.02,6330.27
202312,Regione Lazio,Buoni pasto,INPS,397.59,1485.73
202500,Ministero dell'Economia,Straordinario,IRPEF,1015.82,
202208,Ministero della Salute,Stipendio base x,IRPEF,271.19,979.89
202305,INAIL,Rimborso spese,Irpef,1084.94,6260.33
202210,Agenzia delle Entrate,Rimborso spese,IRES,"€ 66,44",365.94
202407,INPS,Trattenuta sindacale,IRAP,1001.08,3688.33
202206,Ministero della Salute,Rimborso spese,ADD_COM,286.67,992.8
202306,sconosciuto,Premio produttivita,ADD_COM,311.47,1465.94
2025-03,Comune di Roma,Buoni pasto,irpef,"860,42",4320.36
202302,INPS,Stipendio base,ADD_COM,594.35,1630.57
202207,Regione Lazio,Premio produttivita,INAIL,733.39,2173.9
202200,INPS,Trattenuta sindacale,n.c.,497.89,1287.05
202201,Comune di Milano,Rimborso spese,ADD_REG,1432.53,7223.92
202511,Comune di Milano,Anticipo TFR,IVA,471.45,2290.12
10/2024,Regione Lazio,Straordinario,IRAP,835.97,2304.11
202504,INAIL,Buoni pasto,INPS,1288.82,5345.38
202208,Comune di Milano,Stipendio base,INAIL,1013.06,5123.0
202302,Regione Lazio,Anticipo TFR,INAIL,518.03,2998.42
202210,INAIL,Stipendio base,n.c.,851.03,2309.77
202309,Comune di Roma,Buoni pasto,ADD_COM,"170,34",548.04
202405,INPS,Straordinario,IRAP,841.25,2854.66
202501,Regione Lazio,Stipendio base,ADD_REG,"675,51",
202300,INAIL,Trattenuta sindacale,irap,"€ 1.149,00",2924.98
202506,Comune di Milano,Anticipo TFR,IRPEF,1279.46,3548.86
2024-11,Agenzia delle Entrate,Indennita di funzione,ADD_COM,339.44,1738.53
09/23,Comune di Roma,Straordinario,INPS,168.23,701.22
202510,Agenzia delle Entrate,Indennita di funzione,IRES,616.31,1628.01
Rata 2023,Comune di Roma,Stipendio base,IRPEF,824.52,2930.12
202203,Regione Lazio,Indennita di funzione,IRES,596.36,1513.55
202505,INPS,Buoni pasto,IRES,961.41,3317.6
202506,Comune di Milano,Premio produttivita,Add_Com,"€ 783,19",2820.11
202206,Comune di Milano,Rimborso spese,IRES,1408.11,3447.68
202501,Comune di Roma,Premio produttivita,IRES,"643,62",1441.28
2025-07,Agenzia delle Entrate,Rimborso spese,ADD_REG,"€ 169,62",937.39
202502,Regione Lazio,Trattenuta sindacale,ADD_COM,"487,81",2707.63
202309,Regione Lazio,Anticipo TFR,IRES,928.55,1866.68
202409,Ministero dell'Economia,Indennita di funzione,INAIL,421.24,1922.88
202412,Ministero dell'Economia,Rimborso spese,INPS,440.03,1044.95
202409,Ministero dell'Economia,Stipendio base,INPS,542.38,2842.38
202405,INPS,Premio produttivita,IRAP,1131.91,6246.16
202412,INPS,Stipendio base,ADD_REG,"1.413,19",6311.96
