_id,mese,anno,cod_amministrazione,amministrazione,sigla_provincia,cod_regione,giorni_assenza,numero_dipendenti,motivo_assenza,periodo_rif,timestamp_carico,note,flusso,Sigla Provincia,COD REGIONE,2motivo,giorni assenza
12a5e11e622056b2d6342a1b,5,2024,56,MINISTERO DELLA DIFESA,CZ,07,47,3378,Malattia,202405,2025-11-14T16:08:28.546,,,CZ,07,Malattia,47
82b16be1cc9c30cd6deaa4e2,5,2024,162,ISTITUTO NAZIONALE DI ASTROFISICA,TS,08,25,3983,Malattia,202405,2025-05-24T20:57:04.678,,,TS,08,Malattia,25
352fefbc8c0aa405eec554c0,10,2024.,78,AGENZIA DELLE ENTRATE,CZ,04,16,471,Infortunio,202410,2025-03-23T20:07:46.337,,,CZ,04,Infortunio,16
5c4cf6e2c4911d72e251a73c,Marzo,2024,174,MINISTERO DELLA CULTURA,BO,15,49,534,Congedo matrimoniale,202408,2025-07-22T23:06:57.017,,,BO,15,Congedo matrimoniale,49
4529f36792833598fabacc12,12,2023,91,ISTITUTO SUPERIORE DI SANITA',BA,18,18,2850,Permesso legge 104,202312,2025-10-29T21:34:41.894,,,BA,18,Permesso legge 104,18
3ddfbcd54ed62658b02464df,1,2024,91,ISTITUTO SUPERIORE DI SANITA',MI,10,38,1089,Permesso legge 104,202401,2025-09-03T19:11:26.645,,,MI,10,Permesso legge 104,38
f65554a0309aee0ff2065357,5,2023,34,MINISTERO DELLA GIUSTIZIA,CA,14,57,2569,Malattia,202305,2025-05-15T13:29:04.875,,,CA,14,Malattia,57
816fd84af40a53ac36c0a4cc,11,2024,127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,TO,17,20,3229,Permesso legge 104,202411,2025-10-17T11:19:16.851,,,TO,17,Permesso legge 104,20
80a4ca672929a52bc9050e9e,6,2024,103,CONSIGLIO NAZIONALE DELLE RICERCHE,PA,17,26,3134,Malattia,202406,2025-09-17T22:56:44.502,,,PA,17,Malattia,26
ff276a8a68855f9f1c82ddab,1,2024,12,MINISTERO DELL'ISTRUZIONE E DEL MERITO,RM,04,25,1506,Infortunio,202401,2025-03-15T06:28:46.082,,,RM,04,Infortunio,25
a4ce70894953cb81e99127fa,12,2024,288,MINISTERO DEGLI AFFARI ESTERI,FI,16,41,3746,Infortunio,202412,2025-10-27T16:36:06.557,,,FI,16,Infortunio,41
8657143cd25109bf3825eaf7,11,2023,34,MINISTERO DELLA GIUSTIZIA,PG,02,36,1389,Permesso legge 104,202311,2025-11-25T17:06:13.024,dato provvisorio,,PG,02,Permesso legge 104,36
84caa942cd21704ddbf0252e,2,2024,288,MINISTERO DEGLI AFFARI ESTERI,BS,04,41,2467,Aspettativa non retribuita,202402,2025-07-29T01:52:07.333,,,BS,04,Aspettativa non retribuita,41
ccec7ff98287b7bd3e3a2177,Ottobre,2024,174,MINISTERO DELLA CULTURA,TN,03,37,1533,Donazione sangue,202410,2025-07-01T08:17:52.853,dato provvisorio,,TN,03,Donazione sangue,37
f4f57357b735e3402366ce68,2,2023,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,PA,07,32,1619,Aspettativa non retribuita,202302,2025-04-24T05:46:02.501,,,PA,07,Aspettativa non retribuita,32
1166d60bc2275cc290a26f16,7,2023,78,AGENZIA DELLE ENTRATE,VR,02,29,1144,Aspettativa non retribuita,202307,2025-11-24T05:55:07.320,,,VR,02,Aspettativa non retribuita,29
622122b1ef346be830bed618,8,2024.,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,TS,06,30,1199,Infortunio,202408,2025-04-04T08:54:12.409,,,TS,06,Infortunio,30
0db53a0aca2776defbbc4e87,9,2024,174,MINISTERO DELLA CULTURA,AO,07,27,1703,Aspettativa non retribuita,202409,2025-11-20T11:15:13.171,,,AO,07,Aspettativa non retribuita,27
10bd28ad45bd0caa8540cd7f,1,2024,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,LE,17,44,2654,donazione sangue,202401,2025-09-29T13:05:26.258,,,LE,17,Donazione sangue,44
d70ea313613c59f0838c616a,6,2024,,ISTITUTO SUPERIORE DI SANITA',TS,06,29,821,Aspettativa non retribuita,202406,2025-05-19T15:12:39.391,,,TS,06,Aspettativa non retribuita,29
8f90a8c2b75bc6bcd36e4b7c,9,2023,127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,BA,16,37,1271,Infortunio,202309,2025-10-07T04:33:45.551,,,BA,16,Infortunio,37
0acf12050831f9c89ec851a4,12,2023,103,CONSIGLIO NAZIONALE DELLE RICERCHE,GE,01,48,2682,Permesso sindacale,202312,2025-02-15T20:37:47.568,,,GE,01,Permesso sindacale,48
0b75b7f9ed8bfa164cf227f6,2,2024,188,AGENZIA DEL DEMANIO,CB,08,21,2541,Infortunio,202402,2025-08-24T19:37:41.465,,,CB,08,Infortunio,21
1af2142b5b22c513108df2ea,3,2024,103,CONSIGLIO NAZIONALE DELLE RICERCHE,MI,15,33,3401,Donazione sangue,202403,2025-05-31T17:05:40.024,,,MI,15,Donazione sangue,33
2aec7d80599f05a3a4c8bfb8,10,2024,78,AGENZIA DELLE ENTRATE,PA,17,27,2041,Donazione sangue,202410,2025-08-05T21:06:48.248,,,PA,17,Donazione sangue,27
0b5fe97bb487e473f4964433,DIC,2023,188,AGENZIA DEL DEMANIO,PD,17,25,671,Assenza per concorso,202312,2025-07-15T07:28:51.889,,,PD,17,Assenza per concorso,25
f96d9f063177a6229ca1d8a3,10,2023,201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,CT,01,24,117,Congedo parentale,202310,2025-03-20T00:17:21.645,,,CT,01,Congedo parentale,24
0e8686f61a45ade9de196fb2,5,2024,145,MINISTERO DEL TURISMO,RC,19,35,92,Permesso legge 104,202405,2025-03-21T07:43:57.642,,,RC,19,Permesso legge 104,35
1c221b44d494db9eefe4683c,4,2023,279,AVVOCATURA GENERALE DELLO STATO,PG,19,47,2015,Permesso legge 104,202304,2025-05-08T14:15:21.900,,,PG,19,Permesso legge 104,47
d12ebe84b2d3b49b0987616f,12,2023,34,MINISTERO DELLA GIUSTIZIA,,,24,1299,Congedo matrimoniale,202312,2025-05-25T04:08:11.287,dato provvisorio,,SS,12,Congedo matrimoniale,24
99054a9335cb106f0fbcb35b,2,2023,118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,AO,13,25,1328,Congedo matrimoniale,202302,2025-05-10T07:23:52.594,,,AO,13,Congedo matrimoniale,25
ab20eeed10e5b8db7a6cac96,5,2024,266,CORTE DEI CONTI,TO,11,17,3706,Donazione sangue,202405,2025-06-07T11:47:48.265,,,TO,11,Donazione sangue,17
985a4ccf985be59a3d3e4f7e,5,2023,78,AGENZIA DELLE ENTRATE,PD,04,54,1113,Permesso legge 104,202305,2025-05-15T07:07:21.581,,,PD,04,Permesso legge 104,54
955f51d3f338c9ad2e6268d9,12,2024,118,,GE,14,53,1958,Malattia,202412,2025-07-06T18:03:10.775,,,GE,14,Malattia,53
bc26ecedfe760c84bc177d63,6,2024,162,ISTITUTO NAZIONALE DI ASTROFISICA,LE,10,28,3638,Donazione sangue,202406,2025-10-15T03:34:03.135,,,LE,10,Donazione sangue,28
1f29e33441852cc5d87ceb5c,1,2024.,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,PG,12,36,2363,Assenza per concorso,202401,1757102133,,,PG,12,Assenza per concorso,36
8eaa9aa58d4d80d673b087e3,8,2024,279,AVVOCATURA GENERALE DELLO STATO,SS,06,20 giorni,1094,Infortunio,202408,2025-11-10T19:33:31.244,,,SS,06,Infortunio,20
bbf1d4a5e99d4111d4192bb3,6,2023,,MINISTERO DELL'ISTRUZIONE E DEL MERITO,NA,07,19,1707,Aspettativa non retribuita,202306,2025-02-24T14:54:35.988,,,NA,07,Aspettativa non retribuita,19
b3d99792792e9a69c60bbdd5,12,2024,127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,CZ,11,31,3183,Malattia,202412,2025-09-23T21:05:33.193,,,CZ,11,Malattia,31
60bea25886b9e64a671e0337,3,2023,,MINISTERO DEL TURISMO,TN,20,23 giorni,1751,Assenza per concorso,202303,2025-02-17T16:04:29.880,,,TN,20,Assenza per concorso,23
192d256885971e3942b33d54,Aprile,2023,266,CORTE DEI CONTI,BS,19,41,3207,Aspettativa non retribuita,202304,2025-05-15T05:20:30.795,,,BS,19,Aspettativa non retribuita,41
4c13460fb0762d535c2a516e,5,2024,188,n.d.,BZ,17,41,2517,Assenza per concorso,202405,2025-11-06T00:53:48.300,,,BZ,17,Assenza per concorso,41
c3159a198ded5e073a6f2f8c,6,2023,12,MINISTERO DELL'ISTRUZIONE E DEL MERITO,RM,06,53,1475,Assenza per concorso,202306,2025-11-02T22:05:37.330,,,RM,06,Assenza per concorso,53
fdc2442fc7795a798f6d30b6,9,2023,118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,VE,13,49,3669,Malattia,202309,2025-08-08T10:14:58.252,,,VE,13,Malattia,49
0ac5ceecd4c2a27f284c6af8,5,2023,266,CORTE DEI CONTI,RC,18,37,3739,Malattia,202305,2025-03-18T14:29:39.718,,,RC,18,Malattia,37
6f97a56d609361fa5021e7f7,GEN,2024,34,MINISTERO DELLA GIUSTIZIA,AQ,19,51,634,Ferie,202401,2025-09-01T04:59:01.691,,,AQ,19,Ferie,51
eba3c458fd4c8b1115929882,10,2023,174,MINISTERO DELLA CULTURA,AO,17,49,3655,Malattia,202310,2025-07-21T11:58:28.110,,,AO,17,Malattia,49
91ff95442408c14455a1340f,1,2023.,56,MINISTERO DELLA DIFESA,VE,05,32,3094,Infortunio,202301,1746448564,,,VE,05,Infortunio,32
79fd5178c7ad0089c664dd1e,1,2024,56,MINISTERO DELLA DIFESA,FI,03,45,853,Donazione sangue,202402,2025-04-07T07:24:56.921,,,FI,03,Donazione sangue,45
d51952a4225fd1423810bc2e,10,2024,34,MINISTERO DELLA GIUSTIZIA,CA,06,32,1386,Ferie,202410,2025-03-06T06:30:21.163,,,CA,06,Ferie,32
d202a0b9638f901ccb3f430c,1,2023,174,MINISTERO DELLA CULTURA,GE,12,27,219,PERMESSO SINDACALE,202301,2025-07-24T21:58:29.315,,,GE,12,Permesso sindacale,27
db201b9b84919a457f5dd2e4,9,2024,12,MINISTERO DELL'ISTRUZIONE E DEL MERITO,BA,06,34,1961,Congedo matrimoniale,202409,2025-08-19T14:58:39.758,,,BA,06,Congedo matrimoniale,34
5b44382d9a3b7ffe47626070,1,2023,56,MINISTERO DELLA DIFESA,RC,19,32,2532,Malattia,202301,2025-06-22T05:42:00.799,,,RC,19,Malattia,32
8f3c705f4576d9b3add01cd5,4,2024,127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,RC,02,54 giorni,699,Assenza per concorso,202404,2025-08-06T16:30:41.413,,,RC,02,Assenza per concorso,54
29f8655621ac83fd65335d7b,GIU,2023,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,BO,06,35,3600,Permesso sindacale,202306,2025-09-29T20:23:05.638,,,BO,06,Permesso sindacale,35
5fbbf3208ea7c0ad7fb9314d,8,2023,279,AVVOCATURA GENERALE DELLO STATO,NA,11,29,2467,Permesso sindacale,202308,2025-02-23T04:45:53.105,,,NA,11,Permesso sindacale,29
6aa40ccbde3c15e3f4a958d4,6,2024,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,RM,08,38,1404,Aspettativa non retribuita,202406,2025-07-07T11:42:42.286,,,RM,08,Aspettativa non retribuita,38
f321b5634b446f00a1d3f591,1,2023,sconosciuto,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,VE,10,35,2055,Malattia,202301,2025-08-03T05:12:32.878,,,VE,10,Malattia,35
