_id,periodo,cod_ente,denominazione_ente,cod_gestione,gestione,cod_voce,voce_contributiva,imponibile,contributo,aliquota,ripartizione_geografica,data_estrazione,annotazioni,sistema_origine,Gestione,cod voce ext
5a0f430f9ba2454902fc09b3,202301,56,MINISTERO DELLA DIFESA,4,Fondo credito,11,Contributo IVS a carico dipendente,421463.38,139082.92,33.0,Centro,2024-06-19T14:28:49.175,,,Fondo credito,11
b4fe86d0e92b875a647d9027,202311,127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,1,Fondo pensioni lavoratori dipendenti,12,Contributo TFR,111752.33,1799.21,1.61,Nord-est,2025-04-23T16:34:49.466,,,Fondo pensioni lavoratori dipendenti,12
19cd00fb9f47979bd1c5c260,202409,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,3,Cassa previdenza dipendenti enti locali,14,Contributo maternita',"67.812,14",1091.78,1.61,Centro,2024-10-23T01:44:49.565,,,Cassa previdenza dipendenti enti locali,14
02a792ddb6d9bfc72c43b7f7,202405,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,3,Cassa previdenza dipendenti enti locali,18,Contributo malattia,571856.48,52553.61,9.19,Nord-est,2024-07-20T22:10:32.279,,,Cassa previdenza dipendenti enti locali,18
9e0252f9670ae4a97225b9c7,2024-09,118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,3,Cassa previdenza dipendenti enti locali,14,Contributo maternita',50513.34,12224.23,24.2,Isole,2024-02-17T14:00:42.253,,,Cassa previdenza dipendenti enti locali,14
bf97b57ba7dcffe48228a628,202402,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,3,Cassa previdenza dipendenti enti locali,15,Contributo disoccupazione,"426.658,17",140797.2,33.0,Isole,21/03/2024,,,Cassa previdenza dipendenti enti locali,15
02da3feac1d5c175eccaeda2,202310,103,CONSIGLIO NAZIONALE DELLE RICERCHE,5,Assicurazione generale obbligatoria,12,Contributo TFR,413351.4,136405.96,33.0,Centro,2024-03-06T18:25:02.214,,,Assicurazione generale obbligatoria,12
bdd16e8cd99852457a8ba3f4,202307,174,MINISTERO DELLA CULTURA,4,Fondo credito,11,Contributo IVS a carico dipendente,82500.03,7260.0,8.8,Nord-est,2025-01-16T21:26:51.130,,,Fondo credito,11
8b6825cc57f7772f767fb456,202410,266,CORTE DEI CONTI,1,Fondo pensioni lavoratori dipendenti,15,Contributo disoccupazione,618455.6,149666.26,24.2,Centro,2025-05-23T05:25:33.643,,,Fondo pensioni lavoratori dipendenti,15
79bc9ee75a6a6b8cff734d96,202308,162,ISTITUTO NAZIONALE DI ASTROFISICA,1,Fondo pensioni lavoratori dipendenti,16,Contributo fondo credito,591628.36,140807.55000000042,***,Centro,2025-03-17T13:35:21.304,,,Fondo pensioni lavoratori dipendenti,16
967b3d2abd619bdc40ed17ed,202409,56,MINISTERO DELLA DIFESA,2,Gestione separata,14,Contributo maternita',351347.86,32288.87,9.19,Nord-est,2024-06-26T05:13:24.933,,,Gestione separata,14
118c037ca047232c72eed199,202406,91,ISTITUTO SUPERIORE DI SANITA',3,Cassa previdenza dipendenti enti locali,17,Contributo ENPDEP,241876.23,58534.05,24.2,Nord-est,2024-09-22T11:39:00.987,,,Cassa previdenza dipendenti enti locali,17
3a68038f3fe68128b3151001,202406,91,***,3,Cassa previdenza dipendenti enti locali,12,Contributo TFR,132750.31,32125.58,24.2,Nord-est,2025-04-15T13:06:09.782,,,Cassa previdenza dipendenti enti locali,12
6356f61b6c2cc8efb593b035,202301,201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,2,Gestione separata,16,Contributo fondo credito,183021.34,5271.01,2.88,Nord-est,2024-12-15T06:05:23.859,,,Gestione separata,16
4dbce3c5470b2950d038634b,202303,56,MINISTERO DELLA DIFESA,5,Assicurazione generale obbligatoria,15,Contributo disoccupazione,662374.87,19076.4,2.88,Nord-ovest,2024-09-27T08:47:57.609,,,Assicurazione generale obbligatoria,15
328bc527dcad4b7223e0b435,202311,174,MINISTERO DELLA CULTURA,4,Fondo credito,15,Contributo disoccupazione,297945.08,70910.93,23.8,Centro,2025-03-02T20:48:22.365,,,Fondo credito,15
da3c0a22f418a0a799d1d043,202302,103,CONSIGLIO NAZIONALE DELLE RICERCHE,4,Fondo credito,17,Contributo ENPDEP,303824.59,73525.55,24.2,Nord-est,2024-07-20T08:05:57.237,,,Fondo credito,17
4a4d770520e78be08d69e223,202304,266,CORTE DEI CONTI,5,Assicurazione generale obbligatoria,15,Contributo disoccupazione,79851.45,2299.72,2.88,Sud,2024-10-28T09:41:07.546,,,Assicurazione generale obbligatoria,15
fb39423d702e863c478081bb,202307,91,ISTITUTO SUPERIORE DI SANITA',2,Gestione separata,11,Contributo IVS a carico dipendente,21241.92,5140.54,24.2,Isole,2025-01-09T17:15:12.807,,,Gestione separata,11
0c6e6964c9d7af8639dfaa4d,202305,233,,2,Gestione separata,14,Contributo maternita',65211.95,15781.29,24.2,Centro,2024-11-01T14:14:23.504,verifica in corso,,Gestione separata,14
14e0b3746502b04e992b5f99,202305,91,ISTITUTO SUPERIORE DI SANITA',2,Gestione separata,15,,194742.85,3135.36,1.61,Centro,2025-02-28T15:23:35.075,,,Gestione separata,15
8b729d55be355972a7868dab,202302,288,MINISTERO DEGLI AFFARI ESTERI,4,Fondo credito,16,Contributo fondo credito,217743.44,71855.340000002,33.0,Sud,2024-01-18T14:05:55.559,,,Fondo credito,16
4f6e2aa390ffbe0345f8c06a,202407,201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,1,Fondo pensioni lavoratori dipendenti,18,Contributo malattia,79833.27,2299.2,2.88,Sud,1741102253448,,,Fondo pensioni lavoratori dipendenti,18
4b12ffcd72321f308e8c1447,202402,188,AGENZIA DEL DEMANIO,3,Cassa previdenza dipendenti enti locali,19,Contributo ANF,162255.06,14278.45,8.8,Sud,2024-04-10T07:19:58.635,,,Cassa previdenza dipendenti enti locali,19
3ac68d94c9a017532de5c46b,202307,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,3,Cassa previdenza dipendenti enti locali,16,Contributo fondo credito,"137.738,58",45453.73,33.0,Isole,19/07/2024,,,Cassa previdenza dipendenti enti locali,16
89528e78baf8e10304f47bf2,202309,34,NON DISPONIBILE,2,Gestione separata,10,Contributo IVS a carico ente,646443.69,10407.74,,Nord-est,2025-04-09T20:13:24.829,,,Gestione separata,10
5d976dc122e782b2222e9066,202301,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,1,Fondo pensioni lavoratori dipendenti,11,Contributo IVS a carico dipendente,525111.77,124976.6,23.8,Centro,2024-06-11T01:46:46.925,,,Fondo pensioni lavoratori dipendenti,11
4b85e251244666a21a35a040,202303,56,MINISTERO DELLA DIFESA,1,Fondo pensioni lavoratori dipendenti,11,Contributo IVS a carico dipendente,64477.59,5925.49,9.19,Nord-ovest,2025-02-14T00:31:36.329,,,Fondo pensioni lavoratori dipendenti,11
