id_record,mese_competenza,codice_amministrazione,amministrazione,sigla_sindacale,descrizione_sindacale,numero_deleghe,importo_ritenuto,importo_versato,differenza,comparto,stato_flusso,note_operatore,Codice Amministrazione
e7e943b1-ed42-dd21-b3c5-3582080c7497,2024-04,00056,MINISTERO DELLA DIFESA,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,624,8311.83,8195.35,116.48,SICUREZZA-DIFESA,CONSOLIDATO,,56
a1b8faea-d983-dd87-5010-4908a3ec0c6c,2024-11,--,AGENZIA DEL DEMANIO,CONFSAL UNSA,Confederazione Sindacati Autonomi Lavoratori,277,2089.47,2075.44,14.03,,CONSOLIDATO,,188
c2bf4dc5-375b-5175-1eb7-7822e708c14d,2024-02,00266,CORTE DEI CONTI,CONFSAL UNSA,Confederazione Sindacati Autonomi Lavoratori,875,1832.84,1779.58,53.26,FUNZIONI CENTRALI,CONSOLIDATO,,266
7ad7c6b6-c140-f2de-deae-5483230ba281,2024-06,00174,MINISTERO DELLA CULTURA,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,642,34997.38,34195.58,801.8,FUNZIONI CENTRALI,CONSOLIDATO,,174
f615c2be-150e-07a1-379a-b3a170078b18,2023-02,00118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,CISL FP,Federazione Pubblica CISL,6,72127,709.46,11.81,FUNZIONI CENTRALI,CONSOLIDATO,,118
24770752-7d0c-4508-f992-506fb1f636df,2023-02,00247,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,UIL PA,Unione Italiana Lavoratori PA,141,9682.52,9486.35,196.17,FUNZIONI CENTRALI,CONSOLIDATO,,247
657ab594-0bed-feed-7287-862ec4f72513,2024-01,00288,MINISTERO DEGLI AFFARI ESTERI,UIL PA,Unione Italiana Lavoratori PA,96,1051.07,1026.37,24.7,FUNZIONI CENTRALI,CONSOLIDATO,,288
3a3cfb74-3684-04c7-7b7b-20ee029d1154,2023-02,00118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,CISL FP,Federazione Pubblica CISL,131,8490.89,8323.91,166.98,FUNZIONI CENTRALI,CONSOLIDATO,,118
561f80fa-99a2-925b-75c2-ebef86636588,2023-02,00201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,478,15213.86,14949.08,264.78,FUNZIONI CENTRALI,CONSOLIDATO,,201
54c9d7de-8bd3-1442-bdb9-ff5e5f585694,2023-12,00279,AVVOCATURA GENERALE DELLO STATO,INTESA FP,Intesa Funzione Pubblica,65,13146.33,12931.68,214.65,FUNZIONI CENTRALI,CONSOLIDATO,rettifica manuale,279
ec4cd06d-a21f-7562-9be7-6150eb5e105e,2024-09,00258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,UIL PA,Unione Italiana Lavoratori PA,392,3113.7,3109.18,4.52,FUNZIONI CENTRALI,CONSOLIDATO,,258
4a5c43e2-98f3-c708-8f5f-850816ee36e9,2023-09,00201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,776,1231.8,1224.48,7.32,FUNZIONI CENTRALI,CONSOLIDATO,,201
a986b075-4f1e-0673-9573-2fc0d688aa66,2024-05,00288,MINISTERO DEGLI AFFARI ESTERI,CONFSAL UNSA,Confederazione Sindacati Autonomi Lavoratori,65,1418.01,1408.83,9.18,FUNZIONI CENTRALI,CONSOLIDATO,,288
02023982-1b9c-e756-7084-414e4daf162d,2023-01,00279,AVVOCATURA GENERALE DELLO STATO,UIL PA,Unione Italiana Lavoratori PA,588,49170,477.26,14.44,FUNZIONI CENTRALI,CONSOLIDATO,,279
5cc23223-5322-edba-1b8b-2db010ea85bf,2023-11,00127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,478,990.73,987.9,2.83,FUNZIONI CENTRALI,CONSOLIDATO,,127
c644dbfa-b335-661f-c110-a7007162c2dd,2024-05,00266,CORTE DEI CONTI,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,442,1066.29,1058.97,7.32,FUNZIONI CENTRALI,CONSOLIDATO,,266
