_id,periodo,cod_comparto,comparto,cod_regione_origine,regione_origine,cod_regione_destinazione,regione_destinazione,trasferimenti_in,trasferimenti_out,saldo,tipologia,data_aggiornamento,note,fonte,Cod Comparto,trasferimenti in
b555077bc0bda646e9431622,202307,3,ISTRUZIONE E RICERCA,04,TRENTINO-ALTO ADIGE,12,LAZIO,7,6,1,Assegnazione temporanea,2024-12-14,,,3,7
787dc88f9c01e5fc1fdc967f,202403,5,SICUREZZA-DIFESA,09,TOSCANA,14,MOLISE,9,8,1,Comando,2025-05-06,,,5,9
7ad4fc62eee8b90a52ed2d94,202405,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,01,PIEMONTE,03,LOMBARDIA,9,10,-1,Trasferimento d'ufficio,2025-09-27,,,6,9
645a7a362059daaee8c5e23e,202406,3,ISTRUZIONE E RICERCA,14,MOLISE,02,VALLE D'AOSTA,10,8,2,Trasferimento d'ufficio,2025-01-23,,,3,10
3299d09bb4fb0389daea52cb,202307,4,SANITA',03,LOMBARDIA,16,PUGLIA,5,11,-6,Distacco,2025-07-04,,,4,5
0003bb9530a077ff37dd8e79,202407,4,SANITA',07,LIGURIA,15,CAMPANIA,10,2,8,Passaggio diretto,2025-08-27,,,4,10
001a83fd56e494047bf7b6bb,202409,-,SICUREZZA-DIFESA,16,PUGLIA,13,ABRUZZO,"13,0",7,6,Assegnazione temporanea,2025-08-29,,,5,13
9f40a7b253dc4fa60ba542e0,202411,2,FUNZIONI LOCALI,13,ABRUZZO,09,TOSCANA,9,9,0,Comando,2025-04-22,,,2,9
bc71c40f7e63df2692f15ba1,202312,5,SICUREZZA-DIFESA,05,VENETO,03,LOMBARDIA,9,11,-2,Passaggio diretto,2025-08-01,,,5,9
9356c66516305c7059b3833d,2023-09,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,18,CALABRIA,13,ABRUZZO,9,4,5,Mobilita' volontaria,11/03/2025,,,6,9
5266d8038b9b3e8522bdc20f,202308,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,07,LIGURIA,01,PIEMONTE,6,7,-1,Distacco,2025-08-11,,,6,6
4a80dcc6fa010b8a004fadce,202305,2,FUNZIONI LOCALI,15,CAMPANIA,04,TRENTINO-ALTO ADIGE,5,9,-4,Distacco,2025-08-20,,,2,5
d5e42b9760eeaa4158360ee0,202409,4,SANITA',13,ABRUZZO,11,MARCHE,8,9,-1,Comando,2025-02-07,,,4,8
97c8c859fac7a71dcc677ad8,202406,4,SANITA',06,FRIULI-VENEZIA GIULIA,11,MARCHE,6,6,0,Mobilita' volontaria,2025-04-20,,,4,6
a8103ae2bd3f2f3f501a7782,202302,5,SICUREZZA-DIFESA,12,LAZIO,04,TRENTINO-ALTO ADIGE,10,11,-1,Comando,2024-09-27,,,5,10
9358b167ebbbb0c84cd9aabd,202403,5,SICUREZZA-DIFESA,10,UMBRIA,01,PIEMONTE,9,10,-1,Mobilita' volontaria,2025-01-29,,,5,9
eae4ebddcfdbcc573cb6ce70,202409,2,FUNZIONI LOCALI,16,PUGLIA,,PIEMONTE,10,9,1,Distacco,2025-08-07,in verifica,,2,10
097682fc8a1e46890c455d89,202408,1,FUNZIONI CENTRALI,03,LOMBARDIA,02,VALLE D'AOSTA,6,9,-3,Mobilita' volontaria,28/05/2025,,,1,6
0664048dc34287be2dc5ce25,202312,2,FUNZIONI LOCALI,16,PUGLIA,16,PUGLIA,5,5,0,Distacco,2025-03-17,,,2,5
814391aac06047cf686649d2,202312,3,ISTRUZIONE E RICERCA,03,LOMBARDIA,17,BASILICATA,8,10,-2,Mobilita' volontaria,2025-02-23,,flusso SICO,3,8
4c8f0b5df45f4fe0defa1974,202301,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,4,TRENTINO-ALTO ADIGE,13,ABRUZZO,8,10,-2,Comando,2025-03-19,,,6,8
a92605094997dc9ae1953abf,202410,3,ISTRUZIONE E RICERCA,07,LIGURIA,10,UMBRIA,8,8,0,Mobilita' volontaria,2025-03-03,,,3,8
b3217ff965397ee1b2cb204f,202406,5,SICUREZZA-DIFESA,10,UMBRIA,19,SICILIA,10,8,2,Mobilita' volontaria,2025-09-02,,,5,10
85efcfa13c787e6aee81864f,202403,5,SICUREZZA-DIFESA,05,VENETO,18,CALABRIA,8,12,-4,Distacco,2024-10-02,,,5,8
2b70338ff554167a7a754fd3,202309,1,FUNZIONI CENTRALI,03,LOMBARDIA,09,TOSCANA,7,11,-4,Comando,15/09/2024,,,1,7
05775d3c300b35fd4165dc1a,202301,2,FUNZIONI LOCALI,17,BASILICATA,13,ABRUZZO,10,8,2,Comando,2024-09-14,,,2,10
16c7c612cb30fc81cb4c03d3,202410,1,FUNZIONI CENTRALI,03,LOMBARDIA,11,MARCHE,7,11,-4,Trasferimento d'ufficio,2025-07-12,,,1,7
666e3e1a2b447a5467f9306b,202405,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,03,LOMBARDIA,17,BASILICATA,8,10,-2,Passaggio diretto,2025-09-04,,,6,8
0a130b5d095a4f9b5307d319,202403,5,SICUREZZA-DIFESA,14,MOLISE,01,PIEMONTE,11,6,5,Trasferimento d'ufficio,2025-01-17,,,5,11
560a53638f5607f0def066e9,202311,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,16,PUGLIA,14,MOLISE,11,7,4,Mobilita' volontaria,11/02/2025,,,6,11
bbbdd88b232fb0aeedb3a64e,202303,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,13,ABRUZZO,06,FRIULI-VENEZIA GIULIA,9,7,2,Mobilita' volontaria,07/04/2025,,,6,9
a6fb4fb3fd9c6dcf2ff97d40,202411,5,SICUREZZA-DIFESA,01,PIEMONTE,10,UMBRIA,5,4,1,Mobilita' volontaria,07/09/2024,,,5,5
bece618ece42b7b441c06974,202410,3,ISTRUZIONE E RICERCA,06,FRIULI-VENEZIA GIULIA,19,SICILIA,11,14,-3,Distacco,2025-09-28,,,3,11
8a488a52d4244ae5004fafa0,202409,3,ISTRUZIONE E RICERCA,09,TOSCANA,04,TRENTINO-ALTO ADIGE,8,5,3,Trasferimento d'ufficio,2024-11-16,,,3,8
6c0dc0fa29f4d5672e95f134,202312,5,SICUREZZA-DIFESA,08,EMILIA-ROMAGNA,17,BASILICATA,10,11,-1,Assegnazione temporanea,2025-03-28,,,5,10
7214179dc8b0abb52c8f4477,202403,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,04,TRENTINO-ALTO ADIGE,20,SARDEGNA,9,4,5,Comando,2025-06-06,,,6,9
64e9112d819f469bccbc8ec9,202410,1,FUNZIONI CENTRALI,16,PUGLIA,01,PIEMONTE,8,7,1,Comando,2025-06-24,,,1,8
da87e97ee10f547706475b4e,202407,4,SANITA',13,ABRUZZO,05,VENETO,11,10,1,Trasferimento d'ufficio,2025-06-07,,,4,11
9ef75a10bf1d6b0106245c3c,202403,1,FUNZIONI CENTRALI,16,PUGLIA,18,CALABRIA,11,5,6,Passaggio diretto,2025-09-28,,,1,11
756da1741d56150941cba976,202301,3,ISTRUZIONE E RICERCA,04,TRENTINO-ALTO ADIGE,06,FRIULI-VENEZIA GIULIA,7,8,-1,Assegnazione temporanea,2025-02-03,,,3,7
dae5bef21da86ef82228fd21,202301,1,FUNZIONI CENTRALI,05,VENETO,07,LIGURIA,12,6,6,Assegnazione temporanea,2024-11-03,,,1,12
23e48671b1ee9a001fc4f986,202305,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,02,VALLE D'AOSTA,11,MARCHE,9,5,4,Assegnazione temporanea,2024-11-13,,flusso SICO,6,9
52a9427b4b4caaeae5ad38a7,202403,1,FUNZIONI CENTRALI,06,FRIULI-VENEZIA GIULIA,11,MARCHE,5,8,-3,Mobilita' volontaria,13/01/2025,,,1,5
918b15263ccf4b49aa6be2e5,202410,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,04,TRENTINO-ALTO ADIGE,19,SICILIA,12,6,6,Distacco,2025-08-02,,,6,12
940912af1cdfc9f49017e21b,202312,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,16,PUGLIA,07,LIGURIA,15,10,5,Mobilita' volontaria,2025-03-05,,,6,15
25789a9dcf7b6a9704462253,202305,3,ISTRUZIONE E RICERCA,06,FRIULI-VENEZIA GIULIA,-,TOSCANA,11,8,3,Assegnazione temporanea,2025-04-28,,,3,11
118606fa9e83837227aebca4,202407,3,ISTRUZIONE E RICERCA,20,SARDEGNA,14,MOLISE,10,5,5,Trasferimento d'ufficio,2025-05-26,,,3,10
fa324a6c0bc182965e336cbc,202307,1,FUNZIONI CENTRALI,11,MARCHE,19,SICILIA,6,12,-6,Passaggio diretto,2025-09-22,,,1,6
5da7988fad2e9b8961e59809,202410,3,ISTRUZIONE E RICERCA,19,SICILIA,13,ABRUZZO,5,12,-7,Assegnazione temporanea,2024-10-25,,,3,5
d7f7c5d4af1ae9c4abc4943f,202406,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,08,EMILIA-ROMAGNA,06,NULL,14,8,6,Assegnazione temporanea,2024-10-18,,,6,14
833de2aba91fd18529996d59,202311,5,SICUREZZA-DIFESA,19,SICILIA,16,PUGLIA,8,8,0,Comando,2025-07-18,,,5,8
68ff4f1981019d0f54da9187,202301,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,16,PUGLIA,15,CAMPANIA,7,5,2,Mobilita' volontaria,2025-07-07,,,6,7
8bc6b2d7b46f5f00ec799802,202409,1,FUNZIONI CENTRALI,03,LOMBARDIA,03,LOMBARDIA,9,7,2,Passaggio diretto,2024-09-14,,,1,9
994f691dcc8469516f378cf1,202310,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,08,EMILIA-ROMAGNA,17,BASILICATA,7,9,-2,Distacco,2025-08-30,,,6,7
3ee28a4adcbb663a0128fe72,202304,3,ISTRUZIONE E RICERCA,17,BASILICATA,02,VALLE D'AOSTA,4,14,-10,Assegnazione temporanea,2025-05-26,in verifica,,3,4
ef72ea4acbba80d5752d98a2,202403,2,FUNZIONI LOCALI,05,VENETO,14,MOLISE,12,15,-3,Assegnazione temporanea,2025-05-18,,,2,12
8406cc4e29c478cd801baf3d,202307,3,ISTRUZIONE E RICERCA,03,LOMBARDIA,09,TOSCANA,11,9,2,Trasferimento d'ufficio,2024-10-11,,,3,11
76972b4229fc23c1005d0c72,202312,2,FUNZIONI LOCALI,09,TOSCANA,09,TOSCANA,8,7,1,Distacco,2025-01-13,,,2,8
3a36f5dd579f053de2bee4b9,202309,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,05,VENETO,08,EMILIA-ROMAGNA,9,6,3,Trasferimento d'ufficio,2025-07-16,,,6,9
c60f6052c8d525f968c09861,202407,1,FUNZIONI CENTRALI,13,ABRUZZO,03,LOMBARDIA,6,7,-1,Passaggio diretto,2024-09-21,,,1,6
9bee6147debccd3f5664ea48,202406,2,FUNZIONI LOCALI,11,MARCHE,17,BASILICATA,8,7,1,Passaggio diretto,2025-01-24,in verifica,,2,8
8e74002176f49613580ad74a,202403,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,02,VALLE D'AOSTA,13,ABRUZZO,8,6,2,Trasferimento d'ufficio,2024-11-16,,,6,8
28fd66dcd729923dc7f0fb14,202409,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,13,ABRUZZO,10,UMBRIA,15,9,6,Mobilita' volontaria,2025-07-11,,,6,15
66ddbb455a529c7ff6c375f2,202312,3,ISTRUZIONE E RICERCA,07,LIGURIA,13,ABRUZZO,15,7,8,Comando,2025-01-14,,,3,15
6d339fe80aaf58ed08bc25ec,202304,2,FUNZIONI LOCALI,8,EMILIA-ROMAGNA,13,ABRUZZO,"4,0",4,0,Trasferimento d'ufficio,2024-10-11,,,2,4
