scope,row_index,column,before,after,source
cell,56,codice_ente,//,,nan_handler:placeholders
cell,67,codice_ente,-,,nan_handler:placeholders
cell,95,codice_ente,-,,nan_handler:placeholders
cell,97,codice_ente,ND,,nan_handler:placeholders
cell,120,codice_ente,?,,nan_handler:placeholders
cell,190,codice_ente,n.d.,,nan_handler:placeholders
cell,301,codice_ente,unknown,,nan_handler:placeholders
cell,303,codice_ente,-,,nan_handler:placeholders
cell,352,codice_ente,?,,nan_handler:placeholders
cell,389,codice_ente,?,,nan_handler:placeholders
cell,435,codice_ente,//,,nan_handler:placeholders
cell,457,codice_ente,?,,nan_handler:placeholders
cell,504,codice_ente,ND,,nan_handler:placeholders
cell,522,codice_ente,//,,nan_handler:placeholders
cell,649,codice_ente,//,,nan_handler:placeholders
cell,676,codice_ente,unknown,,nan_handler:placeholders
cell,775,codice_ente,ND,,nan_handler:placeholders
cell,866,codice_ente,-,,nan_handler:placeholders
cell,949,codice_ente,-,,nan_handler:placeholders
cell,1004,codice_ente,unknown,,nan_handler:placeholders
cell,1031,codice_ente, ,,nan_handler:placeholders
cell,1082,codice_ente,//,,nan_handler:placeholders
cell,1159,codice_ente,-,,nan_handler:placeholders
cell,1324,codice_ente,ND,,nan_handler:placeholders
cell,1379,codice_ente,?,,nan_handler:placeholders
cell,1444,codice_ente,//,,nan_handler:placeholders
cell,1472,codice_ente,?,,nan_handler:placeholders
cell,1475,codice_ente,?,,nan_handler:placeholders
cell,1525,codice_ente,ND,,nan_handler:placeholders
cell,1633,codice_ente,?,,nan_handler:placeholders
cell,1703,codice_ente,?,,nan_handler:placeholders
cell,2163,codice_ente, ,,nan_handler:placeholders
cell,2220,codice_ente, ,,nan_handler:placeholders
cell,2271,codice_ente,unknown,,nan_handler:placeholders
cell,2316,codice_ente,unknown,,nan_handler:placeholders
cell,2396,codice_ente,ND,,nan_handler:placeholders
cell,2426,codice_ente,//,,nan_handler:placeholders
cell,2436,codice_ente, ,,nan_handler:placeholders
cell,2437,codice_ente,n.d.,,nan_handler:placeholders
cell,2453,codice_ente,-,,nan_handler:placeholders
cell,2479,codice_ente,unknown,,nan_handler:placeholders
cell,2769,codice_ente,unknown,,nan_handler:placeholders
cell,2833,codice_ente, ,,nan_handler:placeholders
cell,2849,codice_ente,ND,,nan_handler:placeholders
cell,2867,codice_ente,n.d.,,nan_handler:placeholders
cell,2869,codice_ente, ,,nan_handler:placeholders
cell,2914,codice_ente,n.d.,,nan_handler:placeholders
cell,2935,codice_ente,?,,nan_handler:placeholders
cell,3034,codice_ente,n.d.,,nan_handler:placeholders
cell,3038,codice_ente,n.d.,,nan_handler:placeholders
cell,3060,codice_ente,?,,nan_handler:placeholders
cell,3091,codice_ente,//,,nan_handler:placeholders
cell,3181,codice_ente,//,,nan_handler:placeholders
cell,3186,codice_ente,unknown,,nan_handler:placeholders
cell,3198,codice_ente,?,,nan_handler:placeholders
cell,3224,codice_ente,-,,nan_handler:placeholders
cell,3281,codice_ente,//,,nan_handler:placeholders
cell,3393,codice_ente,ND,,nan_handler:placeholders
cell,3406,codice_ente, ,,nan_handler:placeholders
cell,3452,codice_ente,n.d.,,nan_handler:placeholders
cell,3463,codice_ente,?,,nan_handler:placeholders
cell,3490,codice_ente,unknown,,nan_handler:placeholders
cell,3503,codice_ente, ,,nan_handler:placeholders
cell,3528,codice_ente,ND,,nan_handler:placeholders
cell,3550,codice_ente,//,,nan_handler:placeholders
cell,3555,codice_ente, ,,nan_handler:placeholders
cell,3620,codice_ente,ND,,nan_handler:placeholders
cell,3700,codice_ente,unknown,,nan_handler:placeholders
cell,3705,codice_ente,//,,nan_handler:placeholders
cell,3781,codice_ente,-,,nan_handler:placeholders
cell,3878,codice_ente, ,,nan_handler:placeholders
cell,3912,codice_ente,-,,nan_handler:placeholders
cell,3994,codice_ente,-,,nan_handler:placeholders
cell,4126,codice_ente,-,,nan_handler:placeholders
cell,4128,codice_ente,ND,,nan_handler:placeholders
cell,4158,codice_ente,//,,nan_handler:placeholders
cell,4167,codice_ente,ND,,nan_handler:placeholders
cell,4247,codice_ente,n.d.,,nan_handler:placeholders
cell,4264,codice_ente,?,,nan_handler:placeholders
cell,4297,codice_ente,n.d.,,nan_handler:placeholders
cell,4346,codice_ente,n.d.,,nan_handler:placeholders
cell,4349,codice_ente, ,,nan_handler:placeholders
cell,4477,codice_ente,ND,,nan_handler:placeholders
cell,4512,codice_ente,?,,nan_handler:placeholders
cell,4530,codice_ente,?,,nan_handler:placeholders
cell,4624,codice_ente,ND,,nan_handler:placeholders
cell,4683,codice_ente,unknown,,nan_handler:placeholders
cell,4827,codice_ente,?,,nan_handler:placeholders
cell,4833,codice_ente,ND,,nan_handler:placeholders
cell,4910,codice_ente,-,,nan_handler:placeholders
cell,4916,codice_ente,-,,nan_handler:placeholders
cell,4926,codice_ente,-,,nan_handler:placeholders
cell,4965,codice_ente,?,,nan_handler:placeholders
cell,5000,codice_ente,n.d.,,nan_handler:placeholders
cell,5022,codice_ente,//,,nan_handler:placeholders
cell,5046,codice_ente, ,,nan_handler:placeholders
cell,5067,codice_ente,//,,nan_handler:placeholders
cell,5162,codice_ente, ,,nan_handler:placeholders
cell,5163,codice_ente,ND,,nan_handler:placeholders
cell,5168,codice_ente,//,,nan_handler:placeholders
cell,5198,codice_ente,?,,nan_handler:placeholders
cell,5225,codice_ente, ,,nan_handler:placeholders
cell,5288,codice_ente, ,,nan_handler:placeholders
cell,5305,codice_ente,n.d.,,nan_handler:placeholders
cell,5393,codice_ente,n.d.,,nan_handler:placeholders
cell,5413,codice_ente,?,,nan_handler:placeholders
cell,5436,codice_ente, ,,nan_handler:placeholders
cell,5515,codice_ente,-,,nan_handler:placeholders
cell,5536,codice_ente,n.d.,,nan_handler:placeholders
cell,5585,codice_ente, ,,nan_handler:placeholders
cell,5940,codice_ente,n.d.,,nan_handler:placeholders
cell,6012,codice_ente,//,,nan_handler:placeholders
cell,6024,codice_ente,unknown,,nan_handler:placeholders
cell,6055,codice_ente,ND,,nan_handler:placeholders
cell,6138,codice_ente,-,,nan_handler:placeholders
cell,6196,codice_ente,ND,,nan_handler:placeholders
cell,6210,codice_ente,-,,nan_handler:placeholders
cell,6275,codice_ente,ND,,nan_handler:placeholders
cell,6544,codice_ente,//,,nan_handler:placeholders
cell,6546,codice_ente,ND,,nan_handler:placeholders
