scope,row_index,column,before,after,source
cell,23,ente,unknown,,nan_handler:placeholders
cell,63,ente, ,,nan_handler:placeholders
cell,116,ente,//,,nan_handler:placeholders
cell,172,ente,ND,,nan_handler:placeholders
cell,197,ente,unknown,,nan_handler:placeholders
cell,235,ente, ,,nan_handler:placeholders
cell,283,ente, ,,nan_handler:placeholders
cell,286,ente,//,,nan_handler:placeholders
cell,309,ente,unknown,,nan_handler:placeholders
cell,363,ente,unknown,,nan_handler:placeholders
cell,464,ente,?,,nan_handler:placeholders
cell,495,ente,unknown,,nan_handler:placeholders
cell,500,ente,n.d.,,nan_handler:placeholders
cell,506,ente,-,,nan_handler:placeholders
cell,522,ente,n.d.,,nan_handler:placeholders
cell,588,ente,//,,nan_handler:placeholders
cell,610,ente,n.d.,,nan_handler:placeholders
cell,622,ente,-,,nan_handler:placeholders
cell,663,ente,-,,nan_handler:placeholders
cell,670,ente, ,,nan_handler:placeholders
cell,691,ente,-,,nan_handler:placeholders
cell,703,ente,?,,nan_handler:placeholders
cell,766,ente,unknown,,nan_handler:placeholders
cell,815,ente,n.d.,,nan_handler:placeholders
cell,898,ente, ,,nan_handler:placeholders
cell,939,ente,-,,nan_handler:placeholders
cell,981,ente,-,,nan_handler:placeholders
cell,1037,ente,unknown,,nan_handler:placeholders
cell,1085,ente,//,,nan_handler:placeholders
cell,1122,ente,ND,,nan_handler:placeholders
cell,1148,ente,ND,,nan_handler:placeholders
cell,1152,ente,n.d.,,nan_handler:placeholders
cell,1264,ente, ,,nan_handler:placeholders
cell,1350,ente, ,,nan_handler:placeholders
cell,1363,ente,n.d.,,nan_handler:placeholders
cell,1403,ente,n.d.,,nan_handler:placeholders
cell,1431,ente, ,,nan_handler:placeholders
cell,1444,ente,unknown,,nan_handler:placeholders
cell,1498,ente,//,,nan_handler:placeholders
cell,1507,ente, ,,nan_handler:placeholders
cell,1529,ente,-,,nan_handler:placeholders
cell,1561,ente,ND,,nan_handler:placeholders
cell,1573,ente,n.d.,,nan_handler:placeholders
cell,1608,ente,?,,nan_handler:placeholders
cell,1727,ente,?,,nan_handler:placeholders
cell,1734,ente,-,,nan_handler:placeholders
cell,1737,ente,unknown,,nan_handler:placeholders
cell,1760,ente,unknown,,nan_handler:placeholders
cell,1812,ente,//,,nan_handler:placeholders
cell,1898,ente,ND,,nan_handler:placeholders
cell,1935,ente,?,,nan_handler:placeholders
cell,1937,ente,//,,nan_handler:placeholders
cell,1954,ente,?,,nan_handler:placeholders
cell,2019,ente,n.d.,,nan_handler:placeholders
cell,2051,ente,unknown,,nan_handler:placeholders
cell,2082,ente, ,,nan_handler:placeholders
cell,2142,ente,unknown,,nan_handler:placeholders
cell,2178,ente,?,,nan_handler:placeholders
cell,2179,ente,?,,nan_handler:placeholders
cell,2205,ente,?,,nan_handler:placeholders
cell,2299,ente,-,,nan_handler:placeholders
cell,2351,ente,n.d.,,nan_handler:placeholders
cell,2412,ente, ,,nan_handler:placeholders
cell,2434,ente,ND,,nan_handler:placeholders
cell,2440,ente,ND,,nan_handler:placeholders
cell,2441,ente,?,,nan_handler:placeholders
cell,2480,ente,-,,nan_handler:placeholders
cell,2486,ente,?,,nan_handler:placeholders
cell,2492,ente, ,,nan_handler:placeholders
cell,2502,ente,ND,,nan_handler:placeholders
cell,2516,ente,unknown,,nan_handler:placeholders
cell,2525,ente,//,,nan_handler:placeholders
cell,2538,ente,unknown,,nan_handler:placeholders
cell,2555,ente,?,,nan_handler:placeholders
cell,2641,ente,?,,nan_handler:placeholders
cell,2756,ente,-,,nan_handler:placeholders
cell,2761,ente,-,,nan_handler:placeholders
cell,2818,ente,-,,nan_handler:placeholders
cell,2824,ente,ND,,nan_handler:placeholders
cell,2838,ente, ,,nan_handler:placeholders
cell,2908,ente, ,,nan_handler:placeholders
cell,2961,ente,-,,nan_handler:placeholders
cell,3119,ente, ,,nan_handler:placeholders
cell,3135,ente,?,,nan_handler:placeholders
cell,3142,ente,n.d.,,nan_handler:placeholders
cell,3225,ente,//,,nan_handler:placeholders
cell,3227,ente,//,,nan_handler:placeholders
cell,3247,ente,-,,nan_handler:placeholders
