id,rata,descrizione,cod_tipoimposta,imposta,aggregation_time,area_geografica,tipo_imposta,spesa,cod_imposta,ente
65ee5ac5f458af56d2af532f,202402,AGENZIA ITALIANA DEL FARMACO - AIFA,2,IRAP,2024-03-11 02:01:04.421,Nord,Erariali,182904.48,6,867
668f34120377f62206882cd8,202406,A.O. S. GIOVANNI ADDOLORATA,3,Previdenziali a carico del datore di lavoro,2024-07-11 03:01:16.866,Nord,Previdenziali,2110811.34,13,921
66e0ee64f458af54a5dbc7fa,202408,MINISTERO DELLA GIUSTIZIA,4,Ritenute Sindacali,2024-09-11 03:01:11.704,Nord,Varie,732614.36,10,9
663ec5eb3f62190222cfb590,202404,MINISTERO DELL'INTERNO,2,IRAP,2024-05-11 03:01:07.269,Nord,Erariali,43365008.73,6,12
6731590c568f146446645d59,202410,AZIENDA SANITARIA LOCALE ROMA 6,2,IRAP,2024-11-11 02:00:28.485,Isole,Erariali,1310915.22,6,910
6667a4b8262bc331baee73e7,202405,AGENZIA NAZIONALE PER LA SICUREZZA DEL VOLO,4,Ritenute Sindacali,2024-06-11 03:01:23.745,,Varie,256.53,10,805
66e0ee65f458af54a5dbc846,202408,ARAN,4,Ritenute Sindacali,2024-09-11 03:01:11.704,Nord,Varie,129.79,10,802
6667a4c1262bc331bdcd0c31,202405,ISTITUTO MUSICALE PAREGGIATO DELLA VALLE D'AOSTA,3,Previdenziali a carico del datore di lavoro,2024-06-11 03:01:23.745,Nord,Previdenziali,35440.47,13,976
6667a4b7262bc331baee7368,202405,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,2,IRAP,2024-06-11 03:01:23.745,Isole,Erariali,8811.11,6,925
663ec5f43f62190222cfb6b2,202404,CONSIGLIO DI STATO E T.A.R.,3,Previdenziali a carico del lavoratore,2024-05-11 03:01:07.269,Isole,Previdenziali,1082321.9,14,17
671a7805568f1404768e2bad,202409,COMUNE DI CARAVAGGIO,3,Previdenziali a carico del datore di lavoro,2024-10-24 18:30:35.560,Sud,Previdenziali,55228.21,13,964
66e0ee64f458af54a5dbc7e9,202408,AGENZIA NAZIONALE PER LA SICUREZZA DEL VOLO,2,IRAP,2024-09-11 03:01:11.704,,Erariali,18179.48,6,805
6731590b5c833340b426ae8f,202410,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,3,Previdenziali a carico del lavoratore,2024-11-11 02:00:28.485,Nord,Previdenziali,1372440.41,14,7
671a780d568f1404768e2be2,202409,ISTITUTO SUPERIORE DI SANITA',3,Previdenziali a carico del datore di lavoro,2024-10-24 18:30:35.560,Nord,Previdenziali,2192935.66,13,32
6731590c568f146439948fc6,202410,COMUNE DI CORLETO MONFORTE,2,Addizionali Comunali,2024-11-11 02:00:28.485,,Erariali,42.36,8,831
661738e5262bc367a2350455,202403,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,1,Netto,2024-04-11 00:00:00.000,Nord,Netto,7639226.66,15,13
65c81f2b3f62191d310d649c,202401,ENTE PARCO NAZIONALE DEL GRAN SASSO E MONTI DELLA LAGA,2,Addizionali Regionali,2024-02-11 02:01:21.381,Isole,Erariali,15.76,7,945
668f34090377f62206882c42,202406,MINISTERO DELLA SALUTE,2,IRPEF,2024-07-11 03:01:16.866,Nord,Erariali,1717613.32,5,10
6667a4b8262bc331baee73b2,202405,ISTITUTO MUSICALE PAREGGIATO DELLA VALLE D'AOSTA,2,Addizionali Regionali,2024-06-11 03:01:23.745,Isole,Erariali,2358.89,7,976
663ec5f53f62190222cfb761,202404,A.O.R.N. ANTONIO CARDARELLI,3,Previdenziali a carico del datore di lavoro,2024-05-11 03:01:07.269,,Previdenziali,3887279.49,13,948
